Date,Time,Heart_Rate
2024-01-01,7:50,97
2024-01-01,13:00,136
2024-01-01,17:00,114
2024-01-01,19:00,103
2024-01-02,11:00,137
2024-01-02,19:20,130
2024-01-02,20:10,110
2024-01-03,11:00,133
2024-01-03,12:15,140
2024-01-03,12:30,79
2024-01-03,13:15,124
2024-01-03,13:45,84
2024-01-03,14:30,115
2024-01-04,7:30,102
2024-01-04,8:00,98
2024-01-04,9:40,107
2024-01-04,15:45,112
2024-01-04,17:40,101
2024-01-04,18:15,128
2024-01-05,8:00,120
2024-01-05,11:30,126
2024-01-06,13:30,109
2024-01-06,19:20,126
2024-01-07,6:15,113
2024-01-07,9:00,126
2024-01-07,10:45,132
2024-01-07,19:00,139
2024-01-08,7:00,130
2024-01-08,7:00,61
2024-01-08,8:30,108
2024-01-08,14:30,133
2024-01-08,19:30,113
2024-01-08,19:45,77
2024-01-09,6:45,120
2024-01-09,7:00,75
2024-01-09,8:45,133
2024-01-09,21:45,124
2024-01-09,21:45,70
2024-01-10,6:20,111
2024-01-10,13:00,129
2024-01-11,13:45,134
2024-01-11,14:00,70
2024-01-12,9:30,134
2024-01-12,12:00,122
2024-01-12,13:00,116
2024-01-12,15:00,139
2024-01-12,16:30,130
2024-01-12,19:00,112
2024-01-13,11:00,115
2024-01-13,17:30,117
2024-01-13,18:30,135
2024-01-14,11:15,119
2024-01-14,12:45,114
2024-01-14,13:20,119
2024-01-15,9:10,118
2024-01-15,14:30,113
2024-01-15,20:00,131
2024-01-17,9:45,120
2024-01-18,6:45,130
2024-01-18,10:15,122
2024-01-18,12:15,135
2024-01-18,17:45,117
2024-01-18,20:45,118
2024-01-19,7:40,107
2024-01-19,15:40,136
2024-01-19,19:15,134
2024-01-20,13:20,124
2024-01-20,18:30,125
2024-01-20,20:00,122
2024-01-21,8:00,109
2024-01-21,10:15,118
2024-01-21,12:20,102
2024-01-21,13:30,118
2024-01-22,6:40,105
2024-01-22,8:20,122
2024-01-23,12:30,128
2024-01-23,19:00,116
2024-01-23,19:45,130
2024-01-23,19:50,66
2024-01-24,6:30,112
2024-01-24,8:00,134
2024-01-24,10:45,117
2024-01-24,21:30,135
2024-01-25,11:00,117
2024-01-25,15:30,108
2024-01-25,18:45,106
2024-01-26,14:30,139
2024-01-26,19:00,137
2024-01-26,19:00,67
2024-01-27,6:50,115
2024-01-27,15:40,103
2024-01-28,6:45,133
2024-01-28,10:30,114
2024-01-28,17:45,140
2024-01-28,18:00,67
2024-01-28,20:50,103
2024-01-29,8:15,106
2024-01-29,20:45,126
2024-01-30,13:45,121
2024-01-31,17:45,130
